energy,theta,2theta,IT_cps_ave,I0_cps_ave
8438.023144,74.8105,150.061,18619.367966,174697.32994
8439.226776,74.77995,149.9999,19019.644911,174923.924029
8440.437266,74.7493,149.93865,19365.951337,174952.048998
8441.654614,74.7186,149.87715,19761.078334,174555.343443
8442.878821,74.68775,149.8155,20204.858776,174451.638199
8444.109884,74.6568,149.7536,20467.922483,174464.347438
8445.347806,74.62575,149.6915,20851.371705,174396.539709
8446.592586,74.5946,149.6292,21005.16537,174400.988753
8447.844224,74.56335,149.56675,21169.642589,174460.29016
8449.10272,74.532,149.50405,21096.438074,174293.003194
8450.368074,74.5006,149.44115,20923.95463,174079.615734
8451.640285,74.46905,149.3781,20710.733419,173933.646328
8452.919355,74.4374,149.3148,20422.474067,173458.783859
8454.205282,74.40565,149.25135,20116.670085,173455.366553
8455.498068,74.37385,149.1877,19799.325539,173381.565381
8456.797712,74.3419,149.12385,19407.980255,172834.363299
8458.104213,74.3099,149.0598,19098.239998,172812.070038
8459.417572,74.2778,148.9956,18712.501631,172386.227891
8460.73779,74.2456,148.9312,18533.157428,172522.748549
8462.064865,74.2133,148.8666,18356.883417,172016.604659
8463.398798,74.1809,148.80185,18240.356459,172369.747452
8464.73959,74.14845,148.7369,18281.622887,172094.802972
8466.087239,74.1159,148.67175,18268.100533,171831.650226
8467.441746,74.08325,148.60645,18295.867483,171751.299834
